home_team,away_team,home_team_goals,away_team_goals,winner,loser,venue,league,year,date
Fulham,Aston Villa,1,3,Aston Villa,Fulham,"Craven Cottage, London",1,2024/25,2024-10-19
Aston Villa,Man Utd,0,0,draw,draw,"Villa Park, Birmingham",1,2024/25,2024-10-06
Ipswich,Aston Villa,2,2,draw,draw,"Portman Road, Ipswich",1,2024/25,2024-09-29
Aston Villa,Wolves,3,1,Aston Villa,Wolves,"Villa Park, Birmingham",1,2024/25,2024-09-21
Aston Villa,Everton,3,2,Aston Villa,Everton,"Villa Park, Birmingham",1,2024/25,2024-09-14
Leicester,Aston Villa,1,2,Aston Villa,Leicester,"King Power Stadium, Leicester",1,2024/25,2024-08-31
Aston Villa,Arsenal,0,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2024/25,2024-08-24
West Ham,Aston Villa,1,2,Aston Villa,West Ham,"London Stadium, London",1,2024/25,2024-08-17
Crystal Palace,Aston Villa,5,0,Crystal Palace,Aston Villa,"Selhurst Park, London",1,2023/24,2024-05-19
Aston Villa,Liverpool,3,3,draw,draw,"Villa Park, Birmingham",1,2023/24,2024-05-13
Brighton,Aston Villa,1,0,Brighton,Aston Villa,"American Express Stadium, Falmer",1,2023/24,2024-05-05
Aston Villa,Chelsea,2,2,draw,draw,"Villa Park, Birmingham",1,2023/24,2024-04-27
Aston Villa,Bournemouth,3,1,Aston Villa,Bournemouth,"Villa Park, Birmingham",1,2023/24,2024-04-21
Arsenal,Aston Villa,0,2,Aston Villa,Arsenal,"Emirates Stadium, London",1,2023/24,2024-04-14
Aston Villa,Brentford,3,3,draw,draw,"Villa Park, Birmingham",1,2023/24,2024-04-06
Man City,Aston Villa,4,1,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2023/24,2024-04-03
Aston Villa,Wolves,2,0,Aston Villa,Wolves,"Villa Park, Birmingham",1,2023/24,2024-03-30
West Ham,Aston Villa,1,1,draw,draw,"London Stadium, London",1,2023/24,2024-03-17
Aston Villa,Spurs,0,4,Spurs,Aston Villa,"Villa Park, Birmingham",1,2023/24,2024-03-10
Luton,Aston Villa,2,3,Aston Villa,Luton,"Kenilworth Road, Luton",1,2023/24,2024-03-02
Aston Villa,Nott'm Forest,4,2,Aston Villa,Nott'm Forest,"Villa Park, Birmingham",1,2023/24,2024-02-24
Fulham,Aston Villa,1,2,Aston Villa,Fulham,"Craven Cottage, London",1,2023/24,2024-02-17
Aston Villa,Man Utd,1,2,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2023/24,2024-02-11
Sheffield Utd,Aston Villa,0,5,Aston Villa,Sheffield Utd,"Bramall Lane, Sheffield",1,2023/24,2024-02-03
Aston Villa,Newcastle,1,3,Newcastle,Aston Villa,"Villa Park, Birmingham",1,2023/24,2024-01-30
Everton,Aston Villa,0,0,draw,draw,"Goodison Park, Liverpool",1,2023/24,2024-01-14
Aston Villa,Burnley,3,2,Aston Villa,Burnley,"Villa Park, Birmingham",1,2023/24,2023-12-30
Man Utd,Aston Villa,3,2,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2023/24,2023-12-26
Aston Villa,Sheffield Utd,1,1,draw,draw,"Villa Park, Birmingham",1,2023/24,2023-12-22
Brentford,Aston Villa,1,2,Aston Villa,Brentford,"Gtech Community Stadium, Brentford",1,2023/24,2023-12-17
Aston Villa,Arsenal,1,0,Aston Villa,Arsenal,"Villa Park, Birmingham",1,2023/24,2023-12-09
Aston Villa,Man City,1,0,Aston Villa,Man City,"Villa Park, Birmingham",1,2023/24,2023-12-06
Bournemouth,Aston Villa,2,2,draw,draw,"Vitality Stadium, Bournemouth",1,2023/24,2023-12-03
Spurs,Aston Villa,1,2,Aston Villa,Spurs,"Tottenham Hotspur Stadium, London",1,2023/24,2023-11-26
Aston Villa,Fulham,3,1,Aston Villa,Fulham,"Villa Park, Birmingham",1,2023/24,2023-11-12
Nott'm Forest,Aston Villa,2,0,Nott'm Forest,Aston Villa,"The City Ground, Nottingham",1,2023/24,2023-11-05
Aston Villa,Luton,3,1,Aston Villa,Luton,"Villa Park, Birmingham",1,2023/24,2023-10-29
Aston Villa,West Ham,4,1,Aston Villa,West Ham,"Villa Park, Birmingham",1,2023/24,2023-10-22
Wolves,Aston Villa,1,1,draw,draw,"Molineux Stadium, Wolverhampton",1,2023/24,2023-10-08
Aston Villa,Brighton,6,1,Aston Villa,Brighton,"Villa Park, Birmingham",1,2023/24,2023-09-30
Chelsea,Aston Villa,0,1,Aston Villa,Chelsea,"Stamford Bridge, London",1,2023/24,2023-09-24
Aston Villa,Crystal Palace,3,1,Aston Villa,Crystal Palace,"Villa Park, Birmingham",1,2023/24,2023-09-16
Liverpool,Aston Villa,3,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,2023/24,2023-09-03
Burnley,Aston Villa,1,3,Aston Villa,Burnley,"Turf Moor, Burnley",1,2023/24,2023-08-27
Aston Villa,Everton,4,0,Aston Villa,Everton,"Villa Park, Birmingham",1,2023/24,2023-08-20
Newcastle,Aston Villa,5,1,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,2023/24,2023-08-12
Aston Villa,Brighton,2,1,Aston Villa,Brighton,"Villa Park, Birmingham",1,2022/23,2023-05-28
Liverpool,Aston Villa,1,1,draw,draw,"Anfield, Liverpool",1,2022/23,2023-05-20
Aston Villa,Spurs,2,1,Aston Villa,Spurs,"Villa Park, Birmingham",1,2022/23,2023-05-13
Wolves,Aston Villa,1,0,Wolves,Aston Villa,"Molineux Stadium, Wolverhampton",1,2022/23,2023-05-06
Man Utd,Aston Villa,1,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2022/23,2023-04-30
Aston Villa,Fulham,1,0,Aston Villa,Fulham,"Villa Park, Birmingham",1,2022/23,2023-04-25
Brentford,Aston Villa,1,1,draw,draw,"Gtech Community Stadium, Brentford",1,2022/23,2023-04-22
Aston Villa,Newcastle,3,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2022/23,2023-04-15
Aston Villa,Nott'm Forest,2,0,Aston Villa,Nott'm Forest,"Villa Park, Birmingham",1,2022/23,2023-04-08
Leicester,Aston Villa,1,2,Aston Villa,Leicester,"King Power Stadium, Leicester",1,2022/23,2023-04-04
Chelsea,Aston Villa,0,2,Aston Villa,Chelsea,"Stamford Bridge, London",1,2022/23,2023-04-01
Aston Villa,Bournemouth,3,0,Aston Villa,Bournemouth,"Villa Park, Birmingham",1,2022/23,2023-03-18
West Ham,Aston Villa,1,1,draw,draw,"London Stadium, London",1,2022/23,2023-03-12
Aston Villa,Crystal Palace,1,0,Aston Villa,Crystal Palace,"Villa Park, Birmingham",1,2022/23,2023-03-04
Everton,Aston Villa,0,2,Aston Villa,Everton,"Goodison Park, Liverpool",1,2022/23,2023-02-25
Aston Villa,Arsenal,2,4,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2022/23,2023-02-18
Man City,Aston Villa,3,1,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2022/23,2023-02-12
Aston Villa,Leicester,2,4,Leicester,Aston Villa,"Villa Park, Birmingham",1,2022/23,2023-02-04
Southampton,Aston Villa,0,1,Aston Villa,Southampton,"St. Mary's Stadium, Southampton",1,2022/23,2023-01-21
Aston Villa,Leeds,2,1,Aston Villa,Leeds,"Villa Park, Birmingham",1,2022/23,2023-01-13
Aston Villa,Wolves,1,1,draw,draw,"Villa Park, Birmingham",1,2022/23,2023-01-04
Spurs,Aston Villa,0,2,Aston Villa,Spurs,"Tottenham Hotspur Stadium, London",1,2022/23,2023-01-01
Aston Villa,Liverpool,1,3,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2022/23,2022-12-26
Brighton,Aston Villa,1,2,Aston Villa,Brighton,"American Express Stadium, Falmer",1,2022/23,2022-11-13
Aston Villa,Man Utd,3,1,Aston Villa,Man Utd,"Villa Park, Birmingham",1,2022/23,2022-11-06
Newcastle,Aston Villa,4,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,2022/23,2022-10-29
Aston Villa,Brentford,4,0,Aston Villa,Brentford,"Villa Park, Birmingham",1,2022/23,2022-10-23
Fulham,Aston Villa,3,0,Fulham,Aston Villa,"Craven Cottage, London",1,2022/23,2022-10-20
Aston Villa,Chelsea,0,2,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2022/23,2022-10-16
Nott'm Forest,Aston Villa,1,1,draw,draw,"The City Ground, Nottingham",1,2022/23,2022-10-10
Leeds,Aston Villa,0,0,draw,draw,"Elland Road, Leeds",1,2022/23,2022-10-02
Aston Villa,Southampton,1,0,Aston Villa,Southampton,"Villa Park, Birmingham",1,2022/23,2022-09-16
Aston Villa,Man City,1,1,draw,draw,"Villa Park, Birmingham",1,2022/23,2022-09-03
Arsenal,Aston Villa,2,1,Arsenal,Aston Villa,"Emirates Stadium, London",1,2022/23,2022-08-31
Aston Villa,West Ham,0,1,West Ham,Aston Villa,"Villa Park, Birmingham",1,2022/23,2022-08-28
Crystal Palace,Aston Villa,3,1,Crystal Palace,Aston Villa,"Selhurst Park, London",1,2022/23,2022-08-20
Aston Villa,Everton,2,1,Aston Villa,Everton,"Villa Park, Birmingham",1,2022/23,2022-08-13
Bournemouth,Aston Villa,2,0,Bournemouth,Aston Villa,"Vitality Stadium, Bournemouth",1,2022/23,2022-08-06
Man City,Aston Villa,3,2,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2021/22,2022-05-22
Aston Villa,Burnley,1,1,draw,draw,"Villa Park, Birmingham",1,2021/22,2022-05-19
Aston Villa,Crystal Palace,1,1,draw,draw,"Villa Park, Birmingham",1,2021/22,2022-05-15
Aston Villa,Liverpool,1,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2021/22,2022-05-10
Burnley,Aston Villa,1,3,Aston Villa,Burnley,"Turf Moor, Burnley",1,2021/22,2022-05-07
Aston Villa,Norwich,2,0,Aston Villa,Norwich,"Villa Park, Birmingham",1,2021/22,2022-04-30
Leicester,Aston Villa,0,0,draw,draw,"King Power Stadium, Leicester",1,2021/22,2022-04-23
Aston Villa,Spurs,0,4,Spurs,Aston Villa,"Villa Park, Birmingham",1,2021/22,2022-04-09
Wolves,Aston Villa,2,1,Wolves,Aston Villa,"Molineux Stadium, Wolverhampton",1,2021/22,2022-04-02
Aston Villa,Arsenal,0,1,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2021/22,2022-03-19
West Ham,Aston Villa,2,1,West Ham,Aston Villa,"London Stadium, London",1,2021/22,2022-03-13
Leeds,Aston Villa,0,3,Aston Villa,Leeds,"Elland Road, Leeds",1,2021/22,2022-03-10
Aston Villa,Southampton,4,0,Aston Villa,Southampton,"Villa Park, Birmingham",1,2021/22,2022-03-05
Brighton,Aston Villa,0,2,Aston Villa,Brighton,"Amex Stadium, Falmer",1,2021/22,2022-02-26
Aston Villa,Watford,0,1,Watford,Aston Villa,"Villa Park, Birmingham",1,2021/22,2022-02-19
Newcastle,Aston Villa,1,0,Newcastle,Aston Villa,"St. James' Park, Newcastle",1,2021/22,2022-02-13
Aston Villa,Leeds,3,3,draw,draw,"Villa Park, Birmingham",1,2021/22,2022-02-09
Everton,Aston Villa,0,1,Aston Villa,Everton,"Goodison Park, Liverpool",1,2021/22,2022-01-22
Aston Villa,Man Utd,2,2,draw,draw,"Villa Park, Birmingham",1,2021/22,2022-01-15
Brentford,Aston Villa,2,1,Brentford,Aston Villa,"Gtech Community Stadium, Brentford",1,2021/22,2022-01-02
Aston Villa,Chelsea,1,3,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2021/22,2021-12-26
Norwich,Aston Villa,0,2,Aston Villa,Norwich,"Carrow Road, Norwich",1,2021/22,2021-12-14
Liverpool,Aston Villa,1,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,2021/22,2021-12-11
Aston Villa,Leicester,2,1,Aston Villa,Leicester,"Villa Park, Birmingham",1,2021/22,2021-12-05
Aston Villa,Man City,1,2,Man City,Aston Villa,"Villa Park, Birmingham",1,2021/22,2021-12-01
Crystal Palace,Aston Villa,1,2,Aston Villa,Crystal Palace,"Selhurst Park, London",1,2021/22,2021-11-27
Aston Villa,Brighton,2,0,Aston Villa,Brighton,"Villa Park, Birmingham",1,2021/22,2021-11-20
Southampton,Aston Villa,1,0,Southampton,Aston Villa,"St. Mary's Stadium, Southampton",1,2021/22,2021-11-05
Aston Villa,West Ham,1,4,West Ham,Aston Villa,"Villa Park, Birmingham",1,2021/22,2021-10-31
Arsenal,Aston Villa,3,1,Arsenal,Aston Villa,"Emirates Stadium, London",1,2021/22,2021-10-22
Aston Villa,Wolves,2,3,Wolves,Aston Villa,"Villa Park, Birmingham",1,2021/22,2021-10-16
Spurs,Aston Villa,2,1,Spurs,Aston Villa,"Tottenham Hotspur Stadium, London",1,2021/22,2021-10-03
Man Utd,Aston Villa,0,1,Aston Villa,Man Utd,"Old Trafford, Manchester",1,2021/22,2021-09-25
Aston Villa,Everton,3,0,Aston Villa,Everton,"Villa Park, Birmingham",1,2021/22,2021-09-18
Chelsea,Aston Villa,3,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2021/22,2021-09-11
Aston Villa,Brentford,1,1,draw,draw,"Villa Park, Birmingham",1,2021/22,2021-08-28
Aston Villa,Newcastle,2,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2021/22,2021-08-21
Watford,Aston Villa,3,2,Watford,Aston Villa,"Vicarage Road, Watford",1,2021/22,2021-08-14
Aston Villa,Chelsea,2,1,Aston Villa,Chelsea,"Villa Park, Birmingham",1,2020/21,2021-05-23
Spurs,Aston Villa,1,2,Aston Villa,Spurs,"Tottenham Hotspur Stadium, London",1,2020/21,2021-05-19
Crystal Palace,Aston Villa,3,2,Crystal Palace,Aston Villa,"Selhurst Park, London",1,2020/21,2021-05-16
Aston Villa,Everton,0,0,draw,draw,"Villa Park, Birmingham",1,2020/21,2021-05-13
Aston Villa,Man Utd,1,3,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2020/21,2021-05-09
Everton,Aston Villa,1,2,Aston Villa,Everton,"Goodison Park, Liverpool",1,2020/21,2021-05-01
Aston Villa,West Brom,2,2,draw,draw,"Villa Park, Birmingham",1,2020/21,2021-04-25
Aston Villa,Man City,1,2,Man City,Aston Villa,"Villa Park, Birmingham",1,2020/21,2021-04-21
Liverpool,Aston Villa,2,1,Liverpool,Aston Villa,"Anfield, Liverpool",1,2020/21,2021-04-10
Aston Villa,Fulham,3,1,Aston Villa,Fulham,"Villa Park, Birmingham",1,2020/21,2021-04-04
Aston Villa,Spurs,0,2,Spurs,Aston Villa,"Villa Park, Birmingham",1,2020/21,2021-03-21
Newcastle,Aston Villa,1,1,draw,draw,"St. James' Park, Newcastle",1,2020/21,2021-03-12
Aston Villa,Wolves,0,0,draw,draw,"Villa Park, Birmingham",1,2020/21,2021-03-06
Sheffield Utd,Aston Villa,1,0,Sheffield Utd,Aston Villa,"Bramall Lane, Sheffield",1,2020/21,2021-03-03
Leeds,Aston Villa,0,1,Aston Villa,Leeds,"Elland Road, Leeds",1,2020/21,2021-02-27
Aston Villa,Leicester,1,2,Leicester,Aston Villa,"Villa Park, Birmingham",1,2020/21,2021-02-21
Brighton,Aston Villa,0,0,draw,draw,"American Express Stadium, Falmer",1,2020/21,2021-02-13
Aston Villa,Arsenal,1,0,Aston Villa,Arsenal,"Villa Park, Birmingham",1,2020/21,2021-02-06
Aston Villa,West Ham,1,3,West Ham,Aston Villa,"Villa Park, Birmingham",1,2020/21,2021-02-03
Southampton,Aston Villa,0,1,Aston Villa,Southampton,"St. Mary's Stadium, Southampton",1,2020/21,2021-01-30
Burnley,Aston Villa,3,2,Burnley,Aston Villa,"Turf Moor, Burnley",1,2020/21,2021-01-27
Aston Villa,Newcastle,2,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2020/21,2021-01-23
Man City,Aston Villa,2,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2020/21,2021-01-20
Man Utd,Aston Villa,2,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2020/21,2021-01-01
Chelsea,Aston Villa,1,1,draw,draw,"Stamford Bridge, London",1,2020/21,2020-12-28
Aston Villa,Crystal Palace,3,0,Aston Villa,Crystal Palace,"Villa Park, Birmingham",1,2020/21,2020-12-26
West Brom,Aston Villa,0,3,Aston Villa,West Brom,"The Hawthorns, West Bromwich",1,2020/21,2020-12-20
Aston Villa,Burnley,0,0,draw,draw,"Villa Park, Birmingham",1,2020/21,2020-12-17
Wolves,Aston Villa,0,1,Aston Villa,Wolves,"Molineux Stadium, Wolverhampton",1,2020/21,2020-12-12
West Ham,Aston Villa,2,1,West Ham,Aston Villa,"London Stadium, London",1,2020/21,2020-11-30
Aston Villa,Brighton,1,2,Brighton,Aston Villa,"Villa Park, Birmingham",1,2020/21,2020-11-21
Arsenal,Aston Villa,0,3,Aston Villa,Arsenal,"Emirates Stadium, London",1,2020/21,2020-11-08
Aston Villa,Southampton,3,4,Southampton,Aston Villa,"Villa Park, Birmingham",1,2020/21,2020-11-01
Aston Villa,Leeds,0,3,Leeds,Aston Villa,"Villa Park, Birmingham",1,2020/21,2020-10-23
Leicester,Aston Villa,0,1,Aston Villa,Leicester,"King Power Stadium, Leicester",1,2020/21,2020-10-18
Aston Villa,Liverpool,7,2,Aston Villa,Liverpool,"Villa Park, Birmingham",1,2020/21,2020-10-04
Fulham,Aston Villa,0,3,Aston Villa,Fulham,"Craven Cottage, London",1,2020/21,2020-09-28
Aston Villa,Sheffield Utd,1,0,Aston Villa,Sheffield Utd,"Villa Park, Birmingham",1,2020/21,2020-09-21
West Ham,Aston Villa,1,1,draw,draw,"London Stadium, London",1,2019/20,2020-07-26
Aston Villa,Arsenal,1,0,Aston Villa,Arsenal,"Villa Park, Birmingham",1,2019/20,2020-07-21
Everton,Aston Villa,1,1,draw,draw,"Goodison Park, Liverpool",1,2019/20,2020-07-16
Aston Villa,Crystal Palace,2,0,Aston Villa,Crystal Palace,"Villa Park, Birmingham",1,2019/20,2020-07-12
Aston Villa,Man Utd,0,3,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2019/20,2020-07-09
Liverpool,Aston Villa,2,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,2019/20,2020-07-05
Aston Villa,Wolves,0,1,Wolves,Aston Villa,"Villa Park, Birmingham",1,2019/20,2020-06-27
Newcastle,Aston Villa,1,1,draw,draw,"St. James' Park, Newcastle",1,2019/20,2020-06-24
Aston Villa,Chelsea,1,2,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2019/20,2020-06-21
Aston Villa,Sheffield Utd,0,0,draw,draw,"Villa Park, Birmingham",1,2019/20,2020-06-17
Leicester,Aston Villa,4,0,Leicester,Aston Villa,"King Power Stadium, Leicester",1,2019/20,2020-03-09
Southampton,Aston Villa,2,0,Southampton,Aston Villa,"St. Mary's Stadium, Southampton",1,2019/20,2020-02-22
Aston Villa,Spurs,2,3,Spurs,Aston Villa,"Villa Park, Birmingham",1,2019/20,2020-02-16
Bournemouth,Aston Villa,2,1,Bournemouth,Aston Villa,"Vitality Stadium, Bournemouth",1,2019/20,2020-02-01
Aston Villa,Watford,2,1,Aston Villa,Watford,"Villa Park, Birmingham",1,2019/20,2020-01-21
Brighton,Aston Villa,1,1,draw,draw,"American Express Stadium, Falmer",1,2019/20,2020-01-18
Aston Villa,Man City,1,6,Man City,Aston Villa,"Villa Park, Birmingham",1,2019/20,2020-01-12
Burnley,Aston Villa,1,2,Aston Villa,Burnley,"Turf Moor, Burnley",1,2019/20,2020-01-01
Watford,Aston Villa,3,0,Watford,Aston Villa,"Vicarage Road, Watford",1,2019/20,2019-12-28
Aston Villa,Norwich,1,0,Aston Villa,Norwich,"Villa Park, Birmingham",1,2019/20,2019-12-26
Aston Villa,Southampton,1,3,Southampton,Aston Villa,"Villa Park, Birmingham",1,2019/20,2019-12-21
Sheffield Utd,Aston Villa,2,0,Sheffield Utd,Aston Villa,"Bramall Lane, Sheffield",1,2019/20,2019-12-14
Aston Villa,Leicester,1,4,Leicester,Aston Villa,"Villa Park, Birmingham",1,2019/20,2019-12-08
Chelsea,Aston Villa,2,1,Chelsea,Aston Villa,"Stamford Bridge, London",1,2019/20,2019-12-04
Man Utd,Aston Villa,2,2,draw,draw,"Old Trafford, Manchester",1,2019/20,2019-12-01
Aston Villa,Newcastle,2,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2019/20,2019-11-25
Wolves,Aston Villa,2,1,Wolves,Aston Villa,"Molineux Stadium, Wolverhampton",1,2019/20,2019-11-10
Aston Villa,Liverpool,1,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2019/20,2019-11-02
Man City,Aston Villa,3,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2019/20,2019-10-26
Aston Villa,Brighton,2,1,Aston Villa,Brighton,"Villa Park, Birmingham",1,2019/20,2019-10-19
Norwich,Aston Villa,1,5,Aston Villa,Norwich,"Carrow Road, Norwich",1,2019/20,2019-10-05
Aston Villa,Burnley,2,2,draw,draw,"Villa Park, Birmingham",1,2019/20,2019-09-28
Arsenal,Aston Villa,3,2,Arsenal,Aston Villa,"Emirates Stadium, London",1,2019/20,2019-09-22
Aston Villa,West Ham,0,0,draw,draw,"Villa Park, Birmingham",1,2019/20,2019-09-16
Crystal Palace,Aston Villa,1,0,Crystal Palace,Aston Villa,"Selhurst Park, London",1,2019/20,2019-08-31
Aston Villa,Everton,2,0,Aston Villa,Everton,"Villa Park, Birmingham",1,2019/20,2019-08-23
Aston Villa,Bournemouth,1,2,Bournemouth,Aston Villa,"Villa Park, Birmingham",1,2019/20,2019-08-17
Spurs,Aston Villa,3,1,Spurs,Aston Villa,"Tottenham Hotspur Stadium, London",1,2019/20,2019-08-10
Burnley,Bournemouth,1,2,Bournemouth,Burnley,"Turf Moor, Burnley",1,2017/18,2018-05-13
Crystal Palace,West Brom,2,0,Crystal Palace,West Brom,"Selhurst Park, London",1,2017/18,2018-05-13
Huddersfield,Arsenal,0,1,Arsenal,Huddersfield,"John Smith's Stadium, Huddersfield",1,2017/18,2018-05-13
Liverpool,Brighton,4,0,Liverpool,Brighton,"Anfield, Liverpool",1,2017/18,2018-05-13
Man Utd,Watford,1,0,Man Utd,Watford,"Old Trafford, Manchester",1,2017/18,2018-05-13
Newcastle,Chelsea,3,0,Newcastle,Chelsea,"St. James' Park, Newcastle",1,2017/18,2018-05-13
Southampton,Man City,0,1,Man City,Southampton,"St. Mary's Stadium, Southampton",1,2017/18,2018-05-13
Swansea,Stoke,1,2,Stoke,Swansea,"Liberty Stadium, Swansea",1,2017/18,2018-05-13
Spurs,Leicester,5,4,Spurs,Leicester,"Wembley Stadium, London",1,2017/18,2018-05-13
West Ham,Everton,3,1,West Ham,Everton,"London Stadium, London",1,2017/18,2018-05-13
West Ham,Man Utd,0,0,draw,draw,"London Stadium, London",1,2017/18,2018-05-10
Chelsea,Huddersfield,1,1,draw,draw,"Stamford Bridge, London",1,2017/18,2018-05-09
Leicester,Arsenal,3,1,Leicester,Arsenal,"King Power Stadium, Leicester",1,2017/18,2018-05-09
Man City,Brighton,3,1,Man City,Brighton,"Etihad Stadium, Manchester",1,2017/18,2018-05-09
Spurs,Newcastle,1,0,Spurs,Newcastle,"Wembley Stadium, London",1,2017/18,2018-05-09
Swansea,Southampton,0,1,Southampton,Swansea,"Liberty Stadium, Swansea",1,2017/18,2018-05-08
Man City,Huddersfield,0,0,draw,draw,"Etihad Stadium, Manchester",1,2017/18,2018-05-06
Arsenal,Burnley,5,0,Arsenal,Burnley,"Emirates Stadium, London",1,2017/18,2018-05-06
Chelsea,Liverpool,1,0,Chelsea,Liverpool,"Stamford Bridge, London",1,2017/18,2018-05-06
Everton,Southampton,1,1,draw,draw,"Goodison Park, Liverpool",1,2017/18,2018-05-05
Stoke,Crystal Palace,1,2,Crystal Palace,Stoke,"bet365 Stadium, Stoke",1,2017/18,2018-05-05
Bournemouth,Swansea,1,0,Bournemouth,Swansea,"Vitality Stadium, Bournemouth",1,2017/18,2018-05-05
Leicester,West Ham,0,2,West Ham,Leicester,"King Power Stadium, Leicester",1,2017/18,2018-05-05
Watford,Newcastle,2,1,Watford,Newcastle,"Vicarage Road, Watford",1,2017/18,2018-05-05
West Brom,Spurs,1,0,West Brom,Spurs,"The Hawthorns, West Bromwich",1,2017/18,2018-05-05
Brighton,Man Utd,1,0,Brighton,Man Utd,"Amex Stadium, Falmer",1,2017/18,2018-05-04
Spurs,Watford,2,0,Spurs,Watford,"Wembley Stadium, London",1,2017/18,2018-04-30
West Ham,Man City,1,4,Man City,West Ham,"London Stadium, London",1,2017/18,2018-04-29
Man Utd,Arsenal,2,1,Man Utd,Arsenal,"Old Trafford, Manchester",1,2017/18,2018-04-29
Liverpool,Stoke,0,0,draw,draw,"Anfield, Liverpool",1,2017/18,2018-04-28
Burnley,Brighton,0,0,draw,draw,"Turf Moor, Burnley",1,2017/18,2018-04-28
Crystal Palace,Leicester,5,0,Crystal Palace,Leicester,"Selhurst Park, London",1,2017/18,2018-04-28
Huddersfield,Everton,0,2,Everton,Huddersfield,"John Smith's Stadium, Huddersfield",1,2017/18,2018-04-28
Newcastle,West Brom,0,1,West Brom,Newcastle,"St. James' Park, Newcastle",1,2017/18,2018-04-28
Southampton,Bournemouth,2,1,Southampton,Bournemouth,"St. Mary's Stadium, Southampton",1,2017/18,2018-04-28
Swansea,Chelsea,0,1,Chelsea,Swansea,"Liberty Stadium, Swansea",1,2017/18,2018-04-28
Everton,Newcastle,1,0,Everton,Newcastle,"Goodison Park, Liverpool",1,2017/18,2018-04-23
Arsenal,West Ham,4,1,Arsenal,West Ham,"Emirates Stadium, London",1,2017/18,2018-04-22
Stoke,Burnley,1,1,draw,draw,"bet365 Stadium, Stoke",1,2017/18,2018-04-22
Man City,Swansea,5,0,Man City,Swansea,"Etihad Stadium, Manchester",1,2017/18,2018-04-22
West Brom,Liverpool,2,2,draw,draw,"The Hawthorns, West Bromwich",1,2017/18,2018-04-21
Watford,Crystal Palace,0,0,draw,draw,"Vicarage Road, Watford",1,2017/18,2018-04-21
Burnley,Chelsea,1,2,Chelsea,Burnley,"Turf Moor, Burnley",1,2017/18,2018-04-19
Leicester,Southampton,0,0,draw,draw,"King Power Stadium, Leicester",1,2017/18,2018-04-19
Bournemouth,Man Utd,0,2,Man Utd,Bournemouth,"Vitality Stadium, Bournemouth",1,2017/18,2018-04-18
Brighton,Spurs,1,1,draw,draw,"Amex Stadium, Falmer",1,2017/18,2018-04-17
West Ham,Stoke,1,1,draw,draw,"London Stadium, London",1,2017/18,2018-04-16
Newcastle,Arsenal,2,1,Newcastle,Arsenal,"St. James' Park, Newcastle",1,2017/18,2018-04-15
Man Utd,West Brom,0,1,West Brom,Man Utd,"Old Trafford, Manchester",1,2017/18,2018-04-15
Southampton,Chelsea,2,3,Chelsea,Southampton,"St. Mary's Stadium, Southampton",1,2017/18,2018-04-14
Burnley,Leicester,2,1,Burnley,Leicester,"Turf Moor, Burnley",1,2017/18,2018-04-14
Crystal Palace,Brighton,3,2,Crystal Palace,Brighton,"Selhurst Park, London",1,2017/18,2018-04-14
Huddersfield,Watford,1,0,Huddersfield,Watford,"John Smith's Stadium, Huddersfield",1,2017/18,2018-04-14
Swansea,Everton,1,1,draw,draw,"Liberty Stadium, Swansea",1,2017/18,2018-04-14
Liverpool,Bournemouth,3,0,Liverpool,Bournemouth,"Anfield, Liverpool",1,2017/18,2018-04-14
Spurs,Man City,1,3,Man City,Spurs,"Wembley Stadium, London",1,2017/18,2018-04-14
Arsenal,Southampton,3,2,Arsenal,Southampton,"Emirates Stadium, London",1,2017/18,2018-04-08
Chelsea,West Ham,1,1,draw,draw,"Stamford Bridge, London",1,2017/18,2018-04-08
